quarter,region,state_name,district_name,bank_group,population_group,branch_category,number_of_offices,total_deposits_crore,total_credit_crore,reported_cd_ratio
FY2022-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,434.65,360.43,82.92
FY2022-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Metropolitan,Commercial Branches,4.0,789.12,727.45,92.18
FY2022-Q2,Central,Uttar Pradesh,Bareilly,Regional Rural Banks,Metropolitan,Specialized Credit Cells,6.0,525.1,510.67,97.25
FY2022-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Rural,Commercial Branches,7.0,534.04,400.05,74.91
FY2022-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Rural,Specialized Credit Cells,7.0,668.86,431.85,64.57
FY2022-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Semi-Urban,Commercial Branches,12.0,1510.75,1284.09,85.0
FY2022-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Semi-Urban,Specialized Credit Cells,7.0,,1231.98,70.33
FY2022-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Urban,Commercial Branches,33.0,2930.86,2255.2,76.95
FY2022-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Urban,Specialized Credit Cells,28.0,1689.05,1358.68,80.44
FY2022-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Metropolitan,Commercial Branches,67.0,5037.94,4299.88,85.35
FY2022-Q2,Eastern,West Bengal,Kolkata,Public Sector Banks,Metropolitan,Specialized Credit Cells,94.0,4837.67,4398.34,90.92
FY2022-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Rural,Commercial Branches,5.0,296.92,232.3,78.24
FY2022-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Rural,Specialized Credit Cells,4.0,228.15,181.28,79.46
FY2022-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Semi-Urban,Commercial Branches,9.0,726.2,593.97,81.79
FY2022-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Semi-Urban,Specialized Credit Cells,9.0,1216.18,789.36,64.9
FY2022-Q2,Eastern,West Bengal,Kolkata,Private Sector Banks,Urban,Commercial Branches,17.0,1932.69,1515.3,78.4
FY2022-Q2,Eastern,West Bengal,KOLKATA,Private Sector Banks,Urban,Specialized Credit Cells,21.0,1506.19,1205.12,80.01
FY2022-Q2,Eastern,West Bengal,KOLKATA,Private Sector Banks,Metropolitan,Commercial Branches,50.0,3380.18,3000.68,88.77
FY2022-Q2,Eastern,WEST BENGAL ,Kolkata,Private Sector Banks,Metropolitan,Specialized Credit Cells,43.0,3325.02,3291.9,99.0
FY2022-Q2,Eastern,  west bengal,Kolkata,Foreign Banks,Rural,Commercial Branches,1.0,7.06,5.74,81.28
FY2022-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Rural,Specialized Credit Cells,1.0,14.75,11.37,77.06
FY2022-Q2,Eastern,  west bengal,Kolkata,Foreign Banks,Semi-Urban,Commercial Branches,1.0,26.56,18.13,68.25
FY2022-Q2,Eastern,  west bengal,Kolkata,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,25.13,18.45,73.42
FY2022-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Urban,Commercial Branches,4.0,608.93,422.82,69.44
FY2022-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Urban,Specialized Credit Cells,7.0,973.31,715.26,73.49
FY2022-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Metropolitan,Commercial Branches,14.0,1393.86,1270.24,91.13
FY2022-Q2,Eastern,West Bengal,Kolkata,Foreign Banks,Metropolitan,Specialized Credit Cells,14.0,1028.96,898.95,87.37
FY2022-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Rural,Commercial Branches,1.0,101.57,74.55,73.4
FY2022-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,74.77,58.01,77.58
FY2022-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,132.56,90.95,68.61
FY2022-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,175.13,130.53,74.53
FY2022-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Urban,Commercial Branches,3.0,322.97,257.62,79.77
FY2022-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Urban,Specialized Credit Cells,4.0,245.78,191.25,77.82
FY2022-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Metropolitan,Commercial Branches,6.0,,467.57,103.14
FY2022-Q2,Eastern,West Bengal,Kolkata,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7.0,387.37,374.89,
FY2022-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Rural,Commercial Branches,8.0,378.34,290.4,76.76
FY2022-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Rural,Specialized Credit Cells,5.0,395.47,308.8,78.08
FY2022-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Semi-Urban,Commercial Branches,12.0,1289.58,842.69,65.35
FY2022-Q2,Eastern,WEST BENGAL ,HOWRAH,Public Sector Banks,Semi-Urban,Specialized Credit Cells,14.0,1428.04,1057.55,74.06
FY2022-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Urban,Commercial Branches,22.0,2480.8,1793.49,72.29
FY2022-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Urban,Specialized Credit Cells,17.0,2499.0,1860.6,74.45
FY2022-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Metropolitan,Commercial Branches,67.0,5769.9,5535.86,
FY2022-Q2,Eastern,West Bengal,Howrah,Public Sector Banks,Metropolitan,Specialized Credit Cells,63.0,4273.14,3660.52,85.66
FY2022-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Rural,Commercial Branches,4.0,632.68,462.96,73.17
FY2022-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Rural,Specialized Credit Cells,4.0,702.17,440.61,62.75
FY2022-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Semi-Urban,Commercial Branches,14.0,784.47,569.0,72.53
FY2022-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Semi-Urban,Specialized Credit Cells,14.0,1134.02,944.74,83.31
FY2022-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Urban,Commercial Branches,19.0,2208.28,1670.85,75.66
FY2022-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Urban,Specialized Credit Cells,17.0,1311.22,,74.53
FY2022-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Metropolitan,Commercial Branches,21.0,"5,956.69",5188.54,87.1
FY2022-Q2,Eastern,West Bengal,Howrah,Private Sector Banks,Metropolitan,Specialized Credit Cells,57.0,2046.08,1951.97,95.4
FY2022-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Rural,Commercial Branches,1.0,5.28,4.19,79.3
FY2022-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Rural,Specialized Credit Cells,1.0,12.09,8.02,66.33
FY2022-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Semi-Urban,Commercial Branches,1.0,28.84,20.75,71.95
FY2022-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,24.81,18.18,73.28
FY2022-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Urban,Commercial Branches,6.0,670.58,508.81,75.88
FY2022-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Urban,Specialized Credit Cells,7.0,792.8,628.47,79.27
FY2022-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Metropolitan,Commercial Branches,9.0,833.7,736.69,88.36
FY2022-Q2,Eastern,West Bengal,Howrah,Foreign Banks,Metropolitan,Specialized Credit Cells,10.0,1239.8,1091.72,88.06
FY2022-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Rural,Commercial Branches,1.0,121.86,90.9,74.6
FY2022-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,86.2,70.85,82.2
FY2022-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Semi-Urban,Commercial Branches,1.0,229.95,182.27,
FY2022-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,2.0,111.92,91.69,81.93
FY2022-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Urban,Commercial Branches,2.0,539.97,456.1,84.47
FY2022-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Urban,Specialized Credit Cells,2.0,267.33,210.44,
FY2022-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Metropolitan,Commercial Branches,8.0,826.71,726.84,87.92
FY2022-Q2,Eastern,West Bengal,Howrah,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7.0,733.06,731.19,99.75
FY2022-Q2,Eastern,  west bengal,North 24 Parganas,Public Sector Banks,Rural,Commercial Branches,6.0,315.35,246.56,78.19
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Rural,Specialized Credit Cells,7.0,641.48,589.19,91.85
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Semi-Urban,Commercial Branches,12.0,1108.97,938.02,84.58
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Semi-Urban,Specialized Credit Cells,14.0,979.30,711.53,72.66
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Urban,Commercial Branches,22.0,2987.55,2259.33,75.62
FY2022-Q2,Eastern,West Bengal,NORTH 24 PARGANAS,Public Sector Banks,Urban,Specialized Credit Cells,24.0,3897.73,3019.99,77.48
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Metropolitan,Commercial Branches,36.0,4468.49,4266.89,95.49
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Public Sector Banks,Metropolitan,Specialized Credit Cells,76.0,3827.01,3431.99,89.68
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Rural,Commercial Branches,3.0,485.78,394.56,81.22
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Rural,Specialized Credit Cells,2.0,661.39,534.63,80.83
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Semi-Urban,Commercial Branches,7.0,1235.11,960.49,77.77
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Semi-Urban,Specialized Credit Cells,10.0,973.79,698.23,71.7
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Urban,Commercial Branches,31.0,2578.41,1912.99,74.19
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Urban,Specialized Credit Cells,22.0,2512.46,1937.74,77.13
FY2022-Q2,Eastern,WEST BENGAL ,North 24 Parganas,Private Sector Banks,Metropolitan,Commercial Branches,90.0,7787.28,6643.54,85.31
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Private Sector Banks,Metropolitan,Specialized Credit Cells,32.0,4681.1,4452.24,95.11
FY2022-Q2,Eastern,West Bengal,NORTH 24 PARGANAS,Foreign Banks,Rural,Commercial Branches,1.0,11.74,10.68,90.94
FY2022-Q2,Eastern,WEST BENGAL ,North 24 Parganas,Foreign Banks,Rural,Specialized Credit Cells,1.0,6.93,4.88,70.43
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Foreign Banks,Semi-Urban,Commercial Branches,1.0,13.68,10.89,79.6
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,29.04,20.25,69.75
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Foreign Banks,Urban,Commercial Branches,7.0,844.16,655.61,
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Foreign Banks,Urban,Specialized Credit Cells,8.0,550.58,432.51,78.56
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Foreign Banks,Metropolitan,Commercial Branches,14.0,252.69,244.23,96.65
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Foreign Banks,Metropolitan,Specialized Credit Cells,20.0,1505.6,1300.81,86.4
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Regional Rural Banks,Rural,Commercial Branches,1.0,70.81,54.05,76.33
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,81.48,65.09,
FY2022-Q2,Eastern,West Bengal,NORTH 24 PARGANAS,Regional Rural Banks,Semi-Urban,Commercial Branches,1.0,203.04,143.93,70.89
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,2.0,147.48,101.95,69.13
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Regional Rural Banks,Urban,Commercial Branches,3.0,321.04,231.51,72.11
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,419.93,267.95,63.81
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Regional Rural Banks,Metropolitan,Commercial Branches,7.0,813.55,722.14,88.76
FY2022-Q2,Eastern,West Bengal,North 24 Parganas,Regional Rural Banks,Metropolitan,Specialized Credit Cells,9.0,248.41,230.66,92.85
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Public Sector Banks,Rural,Commercial Branches,4.0,646.1,,76.23
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Public Sector Banks,Rural,Specialized Credit Cells,6.0,357.86,244.04,68.19
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Public Sector Banks,Semi-Urban,Commercial Branches,14.0,1448.32,1021.15,70.51
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Public Sector Banks,Semi-Urban,Specialized Credit Cells,16.0,1158.86,800.34,69.06
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Public Sector Banks,Urban,Commercial Branches,17.0,2359.65,1837.08,77.85
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Public Sector Banks,Urban,Specialized Credit Cells,24.0,3201.45,2568.42,80.23
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Public Sector Banks,Metropolitan,Commercial Branches,58.0,6905.71,6738.88,97.58
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Public Sector Banks,Metropolitan,Specialized Credit Cells,58.0,6010.3,5310.12,
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Private Sector Banks,Rural,Commercial Branches,2.0,550.72,435.9,79.15
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Private Sector Banks,Rural,Specialized Credit Cells,4.0,545.73,461.94,84.65
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Private Sector Banks,Semi-Urban,Commercial Branches,9.0,764.58,542.74,70.98
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Private Sector Banks,Semi-Urban,Specialized Credit Cells,10.0,1342.52,1062.76,79.16
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Private Sector Banks,Urban,Commercial Branches,12.0,2083.18,1597.42,76.68
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Private Sector Banks,Urban,Specialized Credit Cells,19.0,2412.96,1808.85,74.96
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Private Sector Banks,Metropolitan,Commercial Branches,32.0,"4,072.73",3800.72,93.32
FY2022-Q2,Eastern,WEST BENGAL ,South 24 Parganas,Private Sector Banks,Metropolitan,Specialized Credit Cells,39.0,6485.1,5633.26,86.86
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Foreign Banks,Rural,Commercial Branches,,6.4,4.35,67.99
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Foreign Banks,Rural,Specialized Credit Cells,1.0,8.61,5.76,66.88
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Foreign Banks,Semi-Urban,Commercial Branches,1.0,21.45,15.4,71.8
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,32.75,20.34,62.09
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Foreign Banks,Urban,Commercial Branches,5.0,290.57,259.42,89.28
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Foreign Banks,Urban,Specialized Credit Cells,7.0,587.88,459.47,78.16
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Foreign Banks,Metropolitan,Commercial Branches,21.0,1311.82,1294.22,98.66
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Foreign Banks,Metropolitan,Specialized Credit Cells,19.0,290.03,276.59,95.37
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Regional Rural Banks,Rural,Commercial Branches,1.0,122.8,100.02,81.45
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,89.03,61.94,69.57
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,196.75,163.34,83.02
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,119.59,100.27,83.84
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Regional Rural Banks,Urban,Commercial Branches,4.0,85.95,69.57,80.94
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Regional Rural Banks,Urban,Specialized Credit Cells,2.0,391.86,315.83,80.6
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Regional Rural Banks,Metropolitan,Commercial Branches,5.0,1073.31,887.81,82.72
FY2022-Q2,Eastern,West Bengal,South 24 Parganas,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7.0,555.52,548.45,98.73
FY2022-Q2,Eastern,West Bengal,Hooghly,Public Sector Banks,Rural,Commercial Branches,7.0,611.21,486.05,79.52
FY2022-Q2,Eastern,West Bengal,Hooghly,Public Sector Banks,Rural,Specialized Credit Cells,6.0,326.93,261.49,79.98
FY2022-Q2,Eastern,West Bengal,Hooghly,Public Sector Banks,Semi-Urban,Commercial Branches,9.0,924.32,580.0,62.75
FY2022-Q2,Eastern,West Bengal,HOOGHLY,Public Sector Banks,Semi-Urban,Specialized Credit Cells,22.0,583.73,449.43,76.99
FY2022-Q2,Eastern,West Bengal,Hooghly,Public Sector Banks,Urban,Commercial Branches,39.0,2538.8,1957.26,77.09
FY2022-Q2,Eastern,West Bengal,Hooghly,Public Sector Banks,Urban,Specialized Credit Cells,26.0,2331.37,1899.48,81.47
FY2022-Q2,Eastern,West Bengal,Hooghly,Public Sector Banks,Metropolitan,Commercial Branches,40.0,4250.41,3934.22,92.56
FY2022-Q2,Eastern,West Bengal,Hooghly,Public Sector Banks,Metropolitan,Specialized Credit Cells,76.0,4307.53,4146.6,96.26
FY2022-Q2,Eastern,West Bengal,HOOGHLY,Private Sector Banks,Rural,Commercial Branches,3.0,404.78,277.81,68.63
FY2022-Q2,Eastern,West Bengal,Hooghly,Private Sector Banks,Rural,Specialized Credit Cells,4.0,504.17,356.55,70.72
FY2022-Q2,Eastern,West Bengal,Hooghly,Private Sector Banks,Semi-Urban,Commercial Branches,14.0,640.95,436.63,68.12
FY2022-Q2,Eastern,West Bengal,Hooghly,Private Sector Banks,Semi-Urban,Specialized Credit Cells,9.0,1398.38,1070.23,76.53
FY2022-Q2,Eastern,West Bengal,Hooghly,Private Sector Banks,Urban,Commercial Branches,22.0,2601.78,2209.02,84.9
FY2022-Q2,Eastern,West Bengal,Hooghly,Private Sector Banks,Urban,Specialized Credit Cells,21.0,2102.43,1784.54,84.88
FY2022-Q2,Eastern,West Bengal,Hooghly,Private Sector Banks,Metropolitan,Commercial Branches,36.0,4540.03,4311.52,94.97
FY2022-Q2,Eastern,West Bengal,Hooghly,Private Sector Banks,Metropolitan,Specialized Credit Cells,50.0,5695.16,4964.15,87.16
FY2022-Q2,Eastern,West Bengal,Hooghly,Foreign Banks,Rural,Commercial Branches,1.0,7.14,5.91,82.71
FY2022-Q2,Eastern,West Bengal,Hooghly,Foreign Banks,Rural,Specialized Credit Cells,1.0,10.04,8.29,82.58
FY2022-Q2,Eastern,West Bengal,Hooghly,Foreign Banks,Semi-Urban,Commercial Branches,1.0,22.61,17.14,
FY2022-Q2,Eastern,West Bengal,Hooghly,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,5.08,4.21,82.96
FY2022-Q2,Eastern,West Bengal,Hooghly,Foreign Banks,Urban,Commercial Branches,7.0,993.8,854.66,86.0
FY2022-Q2,Eastern,West Bengal,Hooghly,Foreign Banks,Urban,Specialized Credit Cells,7.0,175.78,129.27,73.54
FY2022-Q2,Eastern,  west bengal,Hooghly,Foreign Banks,Metropolitan,Commercial Branches,14.0,1785.96,1625.75,91.03
FY2022-Q2,Eastern,West Bengal,Hooghly,Foreign Banks,Metropolitan,Specialized Credit Cells,8.0,1326.02,1274.33,96.1
FY2022-Q2,Eastern,West Bengal,Hooghly,Regional Rural Banks,Rural,Commercial Branches,1.0,48.4,33.79,69.82
FY2022-Q2,Eastern,West Bengal,Hooghly,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,71.26,58.58,82.2
FY2022-Q2,Eastern,  west bengal,Hooghly,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,5.0,3.79,75.81
FY2022-Q2,Eastern,West Bengal,Hooghly,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,91.36,76.09,83.29
FY2022-Q2,Eastern,West Bengal,Hooghly,Regional Rural Banks,Urban,Commercial Branches,3.0,316.17,193.23,
FY2022-Q2,Eastern,West Bengal,Hooghly,Regional Rural Banks,Urban,Specialized Credit Cells,4.0,475.76,403.6,84.83
FY2022-Q2,Eastern,West Bengal,Hooghly,Regional Rural Banks,Metropolitan,Commercial Branches,8.0,401.33,387.89,96.65
FY2022-Q2,Eastern,West Bengal,Hooghly,Regional Rural Banks,Metropolitan,Specialized Credit Cells,8.0,164.59,152.43,92.61
FY2022-Q2,Eastern,West Bengal,Darjeeling,Public Sector Banks,Rural,Commercial Branches,5.0,567.42,450.22,79.34
FY2022-Q2,Eastern,West Bengal,Darjeeling,Public Sector Banks,Rural,Specialized Credit Cells,6.0,545.24,434.69,
FY2022-Q2,Eastern,West Bengal,Darjeeling,Public Sector Banks,Semi-Urban,Commercial Branches,11.0,1249.03,1035.2,82.88
FY2022-Q2,Eastern,West Bengal,Darjeeling,Public Sector Banks,Semi-Urban,Specialized Credit Cells,11.0,1231.52,886.89,72.02
FY2022-Q2,Eastern,WEST BENGAL ,Darjeeling,Public Sector Banks,Urban,Commercial Branches,28.0,1073.76,795.07,74.04
FY2022-Q2,Eastern,West Bengal,Darjeeling,Public Sector Banks,Urban,Specialized Credit Cells,30.0,2976.21,2287.36,76.85
FY2022-Q2,Eastern,West Bengal,Darjeeling,Public Sector Banks,Metropolitan,Commercial Branches,67.0,5071.7,4416.39,
FY2022-Q2,Eastern,West Bengal,Darjeeling,Public Sector Banks,Metropolitan,Specialized Credit Cells,76.0,2407.89,2176.61,90.39
FY2022-Q2,Eastern,West Bengal,Darjeeling,Private Sector Banks,Rural,Commercial Branches,6.0,304.81,229.42,75.27
FY2022-Q2,Eastern,West Bengal,Darjeeling,Private Sector Banks,Rural,Specialized Credit Cells,4.0,461.5,329.14,71.32
FY2022-Q2,Eastern,West Bengal,Darjeeling,Private Sector Banks,Semi-Urban,Commercial Branches,9.0,1543.84,1262.27,81.76
FY2022-Q2,Eastern,West Bengal,Darjeeling,Private Sector Banks,Semi-Urban,Specialized Credit Cells,7.0,1453.31,1031.23,70.96
FY2022-Q2,Eastern,West Bengal,Darjeeling,Private Sector Banks,Urban,Commercial Branches,29.0,1553.38,958.21,61.69
FY2022-Q2,Eastern,West Bengal,Darjeeling,Private Sector Banks,Urban,Specialized Credit Cells,17.0,1299.52,913.77,70.32
FY2022-Q2,Eastern,West Bengal,Darjeeling,Private Sector Banks,Metropolitan,Commercial Branches,46.0,4311.02,,92.21
FY2022-Q2,Eastern,West Bengal,Darjeeling,Private Sector Banks,Metropolitan,Specialized Credit Cells,32.0,4914.61,4434.86,90.24
FY2022-Q2,Eastern,West Bengal,Darjeeling,Foreign Banks,Rural,Commercial Branches,1.0,10.71,7.66,71.51
FY2022-Q2,Eastern,West Bengal,Darjeeling,Foreign Banks,Rural,Specialized Credit Cells,1.0,5.0,3.98,79.62
FY2022-Q2,Eastern,West Bengal,Darjeeling,Foreign Banks,Semi-Urban,Commercial Branches,1.0,23.83,16.97,71.2
FY2022-Q2,Eastern,West Bengal,Darjeeling,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,5.0,3.42,68.32
FY2022-Q2,Eastern,West Bengal,Darjeeling,Foreign Banks,Urban,Commercial Branches,5.0,546.66,390.48,71.43
FY2022-Q2,Eastern,West Bengal,Darjeeling,Foreign Banks,Urban,Specialized Credit Cells,4.0,822.25,630.55,76.69
FY2022-Q2,Eastern,WEST BENGAL ,Darjeeling,Foreign Banks,Metropolitan,Commercial Branches,10.0,1473.92,1245.07,84.47
FY2022-Q2,Eastern,West Bengal,Darjeeling,Foreign Banks,Metropolitan,Specialized Credit Cells,24.0,1289.65,1136.56,88.13
FY2022-Q2,Eastern,West Bengal,Darjeeling,Regional Rural Banks,Rural,Commercial Branches,1.0,83.3,57.26,68.73
FY2022-Q2,Eastern,West Bengal,Darjeeling,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,54.75,36.44,66.57
FY2022-Q2,Eastern,West Bengal,Darjeeling,Regional Rural Banks,Semi-Urban,Commercial Branches,1.0,199.49,140.47,70.42
FY2022-Q2,Eastern,West Bengal,DARJEELING,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,162.17,140.15,86.42
FY2022-Q2,Eastern,West Bengal,Darjeeling,Regional Rural Banks,Urban,Commercial Branches,,174.87,131.6,
FY2022-Q2,Eastern,West Bengal,Darjeeling,Regional Rural Banks,Urban,Specialized Credit Cells,2.0,410.97,347.51,84.56
FY2022-Q2,Eastern,West Bengal,Darjeeling,Regional Rural Banks,Metropolitan,Commercial Branches,6.0,581.51,507.52,87.28
FY2022-Q2,Eastern,West Bengal,Darjeeling,Regional Rural Banks,Metropolitan,Specialized Credit Cells,3.0,368.46,322.21,87.45
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Public Sector Banks,Rural,Commercial Branches,3.0,418.4,302.74,72.36
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Public Sector Banks,Rural,Specialized Credit Cells,9.0,414.08,286.25,69.13
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Public Sector Banks,Semi-Urban,Commercial Branches,13.0,926.47,626.64,67.64
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Public Sector Banks,Semi-Urban,Specialized Credit Cells,12.0,1430.77,1221.75,85.39
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Public Sector Banks,Urban,Commercial Branches,19.0,2279.45,1861.52,81.67
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Public Sector Banks,Urban,Specialized Credit Cells,24.0,3904.67,2706.63,69.32
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Public Sector Banks,Metropolitan,Commercial Branches,58.0,6385.07,5917.92,92.68
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Public Sector Banks,Metropolitan,Specialized Credit Cells,58.0,5415.44,4904.72,90.57
FY2022-Q2,Eastern,West Bengal,Paschim Bardhaman,Private Sector Banks,Rural,Commercial Branches,4.0,347.74,263.36,75.74
